,yearID,PA,BB.,K.,BB.K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC.,lgID
1,1942,43006,9.60%,7.60%,1.27,0.266,0.34,0.372,0.712,0.106,4.5,0.28,NA,NA,-61.3,5105,528.8,0.341,100,AL
2,1943,43402,9.50%,8.50%,1.11,0.256,0.331,0.354,0.684,0.097,4.3,0.274,NA,NA,-56,4662,239.4,0.331,100,AL
3,1944,43457,8.60%,7.90%,1.09,0.268,0.335,0.366,0.701,0.098,4.5,0.285,NA,NA,-48.5,4950,248.3,0.334,100,AL
4,1945,42622,9.30%,8.00%,1.16,0.262,0.334,0.356,0.689,0.094,4.3,0.279,NA,NA,-75,4708,83.9,0.332,100,AL
5,1946,43475,9.70%,9.80%,0.98,0.264,0.338,0.379,0.717,0.116,4.1,0.283,NA,NA,-67.9,4949,397.4,0.341,100,AL
6,1947,43534,10.40%,8.60%,1.21,0.263,0.343,0.378,0.72,0.115,4.2,0.277,NA,NA,-61.5,5073,132.3,0.34,100,AL
7,1948,44191,11.20%,8.00%,1.4,0.273,0.358,0.395,0.753,0.122,4.2,0.286,NA,NA,-69,5707,483.9,0.355,100,AL
8,1949,44132,12.10%,8.00%,1.5,0.271,0.363,0.393,0.756,0.123,4.2,0.283,NA,NA,-60.8,5736,492.7,0.358,100,AL
9,1950,44636,11.50%,8.50%,1.36,0.278,0.366,0.417,0.783,0.139,4.1,0.289,NA,NA,-60.3,6146,588.6,0.362,100,AL
10,1951,44053,10.50%,8.60%,1.22,0.267,0.349,0.392,0.741,0.125,4.1,0.28,NA,NA,-7.4,5488,316.1,0.346,100,AL
11,1952,43892,10.10%,9.80%,1.03,0.26,0.34,0.38,0.72,0.12,3.9,0.276,NA,NA,-3.7,5147,354.3,0.338,100,AL
12,1953,43781,9.70%,9.30%,1.04,0.27,0.346,0.397,0.743,0.127,3.8,0.284,NA,NA,-21.4,5432,187.5,0.341,100,AL
